figure_key,year,channel,category,count,total,proportion
phm_society_conf,2022,Code,A1,1,58,0.017241379310344827
phm_society_conf,2022,Code,A2,3,58,0.05172413793103448
phm_society_conf,2022,Code,A3,0,58,0.0
phm_society_conf,2022,Code,A4,0,58,0.0
phm_society_conf,2022,Code,A5,54,58,0.9310344827586207
phm_society_conf,2022,Data,A1,0,58,0.0
phm_society_conf,2022,Data,A2,1,58,0.017241379310344827
phm_society_conf,2022,Data,A3,2,58,0.034482758620689655
phm_society_conf,2022,Data,A4,2,58,0.034482758620689655
phm_society_conf,2022,Data,A5,53,58,0.9137931034482759
phm_society_conf,2023,Code,A1,1,55,0.01818181818181818
phm_society_conf,2023,Code,A2,1,55,0.01818181818181818
phm_society_conf,2023,Code,A3,0,55,0.0
phm_society_conf,2023,Code,A4,0,55,0.0
phm_society_conf,2023,Code,A5,53,55,0.9636363636363636
phm_society_conf,2023,Data,A1,0,55,0.0
phm_society_conf,2023,Data,A2,0,55,0.0
phm_society_conf,2023,Data,A3,0,55,0.0
phm_society_conf,2023,Data,A4,1,55,0.01818181818181818
phm_society_conf,2023,Data,A5,54,55,0.9818181818181818
phm_society_conf,2024,Code,A1,2,46,0.043478260869565216
phm_society_conf,2024,Code,A2,3,46,0.06521739130434782
phm_society_conf,2024,Code,A3,0,46,0.0
phm_society_conf,2024,Code,A4,0,46,0.0
phm_society_conf,2024,Code,A5,41,46,0.8913043478260869
phm_society_conf,2024,Data,A1,1,46,0.021739130434782608
phm_society_conf,2024,Data,A2,0,46,0.0
phm_society_conf,2024,Data,A3,0,46,0.0
phm_society_conf,2024,Data,A4,0,46,0.0
phm_society_conf,2024,Data,A5,45,46,0.9782608695652174
phm_society_conf,2025,Code,A1,1,46,0.021739130434782608
phm_society_conf,2025,Code,A2,2,46,0.043478260869565216
phm_society_conf,2025,Code,A3,1,46,0.021739130434782608
phm_society_conf,2025,Code,A4,0,46,0.0
phm_society_conf,2025,Code,A5,42,46,0.9130434782608695
phm_society_conf,2025,Data,A1,1,46,0.021739130434782608
phm_society_conf,2025,Data,A2,1,46,0.021739130434782608
phm_society_conf,2025,Data,A3,0,46,0.0
phm_society_conf,2025,Data,A4,0,46,0.0
phm_society_conf,2025,Data,A5,44,46,0.9565217391304348
ijphm,2022,Code,A1,2,18,0.1111111111111111
ijphm,2022,Code,A2,0,18,0.0
ijphm,2022,Code,A3,0,18,0.0
ijphm,2022,Code,A4,0,18,0.0
ijphm,2022,Code,A5,16,18,0.8888888888888888
ijphm,2022,Data,A1,0,18,0.0
ijphm,2022,Data,A2,0,18,0.0
ijphm,2022,Data,A3,0,18,0.0
ijphm,2022,Data,A4,0,18,0.0
ijphm,2022,Data,A5,18,18,1.0
ijphm,2023,Code,A1,0,25,0.0
ijphm,2023,Code,A2,1,25,0.04
ijphm,2023,Code,A3,0,25,0.0
ijphm,2023,Code,A4,0,25,0.0
ijphm,2023,Code,A5,24,25,0.96
ijphm,2023,Data,A1,0,25,0.0
ijphm,2023,Data,A2,1,25,0.04
ijphm,2023,Data,A3,0,25,0.0
ijphm,2023,Data,A4,1,25,0.04
ijphm,2023,Data,A5,23,25,0.92
ijphm,2024,Code,A1,0,37,0.0
ijphm,2024,Code,A2,1,37,0.02702702702702703
ijphm,2024,Code,A3,0,37,0.0
ijphm,2024,Code,A4,0,37,0.0
ijphm,2024,Code,A5,36,37,0.972972972972973
ijphm,2024,Data,A1,0,37,0.0
ijphm,2024,Data,A2,0,37,0.0
ijphm,2024,Data,A3,0,37,0.0
ijphm,2024,Data,A4,1,37,0.02702702702702703
ijphm,2024,Data,A5,36,37,0.972972972972973
ijphm,2025,Code,A1,1,44,0.022727272727272728
ijphm,2025,Code,A2,3,44,0.06818181818181818
ijphm,2025,Code,A3,1,44,0.022727272727272728
ijphm,2025,Code,A4,0,44,0.0
ijphm,2025,Code,A5,39,44,0.8863636363636364
ijphm,2025,Data,A1,0,44,0.0
ijphm,2025,Data,A2,0,44,0.0
ijphm,2025,Data,A3,0,44,0.0
ijphm,2025,Data,A4,0,44,0.0
ijphm,2025,Data,A5,44,44,1.0
